equipo,victorias_esta_temp,empates_esta_temp,derrotas_esta_temp,porcentaje_victorias_esta_temp,porcentaje_empates_esta_temp,porcentaje_derrotas_esta_temp,victorias_ult10_temp,empates_ult10_temp,derrotas_ult10_temp,porcentaje_victorias_ult10_temp,porcentaje_empates_ult10_temp,porcentaje_derrotas_ult10_temp,Goles Marcados Local_esta_temp,Goles Marcados Visitante_esta_temp,Goles Recibidos Local_esta_temp,Goles Recibidos Visitante_esta_temp,Goles Marcados Local_ult10_temp,Goles Marcados Visitante_ult10_temp,Goles Recibidos Local_ult10_temp,Goles Recibidos Visitante_ult10_temp,Golesxpartido Local_ult10_temp,Golesxpartido Visitante_ult10_temp,Golesxpartido Recibidos Local_ult10_temp,Golesxpartido Recibidos Visitante_ult10_temp,titulos_UCL_ganados,titulos_UCL_ult10_temp
Copenhague,2.0,2.0,2.0,33.3,33.3,33.3,2.0,2.0,2.0,33.3,33.3,33.3,6,2,5,3,6.0,2.0,5.0,3.0,2.0,0.7,1.7,1.0,0,0
Leipzig,4.0,0.0,2.0,66.7,0.0,33.3,22.0,5.0,19.0,47.8,10.9,41.3,6,7,5,5,44.0,37.0,37.0,48.0,1.8,1.7,1.5,2.2,0,0
PSG,2.0,2.0,2.0,33.3,33.3,33.3,30.0,8.0,16.0,55.6,14.8,29.6,6,3,1,7,65.0,56.0,20.0,40.0,2.4,2.1,0.7,1.5,0,0
Lazio,3.0,1.0,2.0,50.0,16.7,33.3,5.0,5.0,4.0,35.7,35.7,28.6,4,3,1,6,13.0,7.0,9.0,11.0,1.9,1.0,1.3,1.6,0,0
PSV,2.0,3.0,1.0,33.3,50.0,16.7,2.0,3.0,1.0,33.3,50.0,16.7,4,4,3,7,4.0,4.0,3.0,7.0,1.3,1.3,1.0,2.3,0,0
Inter,3.0,3.0,0.0,50.0,50.0,0.0,17.0,11.0,11.0,43.6,28.2,28.2,3,5,1,4,24.0,29.0,17.0,24.0,1.3,1.4,0.9,1.2,3,0
Porto,4.0,0.0,2.0,66.7,0.0,33.3,17.0,5.0,15.0,45.9,13.5,40.5,7,8,4,4,30.0,28.0,31.0,22.0,1.6,1.6,1.6,1.2,0,0
Napoles,3.0,1.0,2.0,50.0,16.7,33.3,10.0,2.0,4.0,62.5,12.5,25.0,5,5,4,5,20.0,16.0,8.0,9.0,2.5,2.0,1.0,1.1,0,0
Bayern,5.0,1.0,0.0,83.3,16.7,0.0,47.0,7.0,5.0,79.7,11.9,8.5,6,6,4,2,79.0,82.0,19.0,30.0,2.8,2.6,0.7,1.0,6,2
Real Sociedad,3.0,3.0,0.0,50.0,50.0,0.0,3.0,3.0,0.0,50.0,50.0,0.0,4,3,2,0,4.0,3.0,2.0,0.0,1.3,1.0,0.7,0.0,0,0
Manchester City,6.0,0.0,0.0,100.0,0.0,0.0,43.0,10.0,10.0,68.3,15.9,15.9,9,9,3,4,83.0,62.0,27.0,29.0,2.6,2.0,0.8,0.9,1,1
Barcelona,4.0,0.0,2.0,66.7,0.0,33.3,24.0,9.0,12.0,53.3,20.0,26.7,9,3,2,4,49.0,26.0,34.0,23.0,2.2,1.1,1.5,1.0,5,2
Arsenal,4.0,1.0,1.0,66.7,16.7,16.7,4.0,1.0,1.0,66.7,16.7,16.7,12,4,0,4,12.0,4.0,0.0,4.0,4.0,1.3,0.0,1.3,0,0
Atletico Madrid,4.0,2.0,0.0,66.7,33.3,0.0,14.0,12.0,11.0,37.8,32.4,29.7,11,6,2,4,32.0,19.0,19.0,21.0,1.5,1.2,0.9,1.3,0,0
Dortmund,3.0,2.0,1.0,50.0,33.3,16.7,18.0,10.0,15.0,41.9,23.3,34.9,3,4,1,3,33.0,30.0,18.0,39.0,1.6,1.4,0.9,1.8,1,0
Real Madrid,6.0,0.0,0.0,100.0,0.0,0.0,41.0,9.0,14.0,64.1,14.1,21.9,8,8,2,5,80.0,55.0,38.0,40.0,2.5,1.7,1.2,1.2,14,5