fase,equipo_local,goles_equipo_local,equipo_visitante,goles_equipo_visitante
Octavos,Copenhague,,Manchester City,
Octavos,Leipzig,,Real Madrid,
Octavos,PSG,,Real Sociedad,
Octavos,Lazio,,Bayern,
Octavos,PSV,,Dortmund,
Octavos,Inter,,Atletico Madrid,
Octavos,Porto,,Arsenal,
Octavos,Napoles,,Barcelona,
Octavos,Bayern,,Lazio,
Octavos,Real Sociedad,,PSG,
Octavos,Manchester City,,Copenhague,
Octavos,Barcelona,,Napoles,
Octavos,Arsenal,,Porto,
Octavos,Atletico Madrid,,Inter,
Octavos,Dortmund,,PSV,
Octavos,Real Madrid,,Leipzig,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Cuartos,,,,
Semifinales,,,,
Semifinales,,,,
Semifinales,,,,
Semifinales,,,,
Final,,,,